file,type,severity,time_us,module,message,cluster
debounce_times.log,UVM,UVM_INFO,582790.14638,real_signal_coverage,Coverage score = 0.0%,-1
debounce_times.log,UVM,UVM_INFO,582790.14638,real_signal_coverage,Coverage score = 0.0%,-1
debounce_times.log,UVM,UVM_INFO,582790.14638,digital_signal_coverage,Coverage score = 75.0%,-1
debounce_times.log,UVM,UVM_INFO,582790.14638,jtag_master_coverage,Coverage score = 0.0%,-1
debounce_times.log,UVM,UVM_INFO,582790.14638,real_signal_coverage,Coverage score = 0.0%,-1
debounce_times.log,UVM,UVM_INFO,582790.14638,osc_coverage,Coverage score = 25.8%,-1
debounce_times.log,UVM,UVM_INFO,582790.14638,digital_signal_coverage,Coverage score = 75.0%,-1
debounce_times.log,UVM,UVM_INFO,582790.14638,digital_signal_coverage,Coverage score = 75.0%,-1
debounce_times.log,UVM,UVM_INFO,582790.14638,digital_signal_coverage,Coverage score = 37.5%,-1
debounce_times.log,UVM,UVM_INFO,582790.14638,digital_signal_coverage,Coverage score = 75.0%,-1
debounce_times.log,UVM,UVM_INFO,582790.14638,real_signal_coverage,Coverage score = 0.0%,-1
debounce_times.log,UVM,UVM_INFO,582790.14638,digital_signal_coverage,Coverage score = 0.0%,-1
debounce_times.log,UVM,UVM_INFO,582790.14638,real_signal_coverage,Coverage score = 0.0%,-1
debounce_times.log,UVM,UVM_INFO,582790.14638,real_signal_coverage,Coverage score = 0.0%,-1
debounce_times.log,UVM,UVM_INFO,582790.14638,real_signal_coverage,Coverage score = 0.0%,-1
debounce_times.log,Config,,0.0,CONFIG,UVM_VERBOSITY=UVM_MEDIUM,-1
dsi3_clear_command_buffer.log,Config,,0.0,CONFIG,UVM_VERBOSITY=UVM_MEDIUM,-1
dsi3_clear_command_buffer.log,Config,,0.0,CONFIG,uvm_set_type_override=top_default_seq,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,0.0,UVM_VERDI_DPI,uvm_verdi DPI routines are compiled off. Recompile without +define+UVM_NO_VERDI_DPI,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,0.0,dsi3_clear_command_buffer_seq,dsi3_clear_command_buffer_seq sequence starting,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,0.001,sim:task,dsi3_clear_command_buffer,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,2120.001,sim:description,'''Testcase for clearing DSI command buffer''',-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,2120.001,stop_single_pdcm_of_all_channels_seq,stop_single_pdcm_of_all_channels_seq sequence starting,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,2120.002,sim:description:1,*stop single PDCM when all channels do PDCM,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,2120.002,upload_tdma_scheme_seq,upload_tdma_scheme_seq sequence starting,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,2200.723,upload_tdma_scheme_seq,uploaded TDMA scheme:,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,2200.723,sim:description:2,**stop PDCM on channel 0 when all channels do PDCM,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,2204.458,dsi3_master_transmission_checker,start PDCM at channel 0 with 5 pulses and a PDCM period of 1000,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,2204.458,dsi3_master_transmission_checker,start PDCM at channel 1 with 5 pulses and a PDCM period of 1000,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,2228.124261,m_transaction_recorder,Injected error: skipped logging master transaction for channel 0,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,2228.124261,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 0'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,2230.12427,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 1'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,3230.124278,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 1'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,3230.124278,dsi3_master_transmission_checker,measured PDCM period at channel 1: 1000.000000 us - 3 pulses left,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,3352.458,dsi3_master_transmission_checker,read PDCM frame: channels 0b11,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,4230.124286,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 1'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,4230.124286,dsi3_master_transmission_checker,measured PDCM period at channel 1: 1000.000000 us - 2 pulses left,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,4397.578,dsi3_master_transmission_checker,read PDCM frame: channels 0b11,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,4397.578,m_master_transmission_checker_1,ignored TE (timing error) flag of packet index 0 because of gray zone timing,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,5230.124294,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 1'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,5230.124294,dsi3_master_transmission_checker,measured PDCM period at channel 1: 1000.000000 us - 1 pulses left,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,5442.698,dsi3_master_transmission_checker,read PDCM frame: channels 0b11,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,6230.124302,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 1'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,6230.124302,dsi3_master_transmission_checker,measured PDCM period at channel 1: 1000.000000 us - 0 pulses left,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,6487.818,dsi3_master_transmission_checker,read PDCM frame: channels 0b11,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,6487.818,m_master_transmission_checker_1,ignored TE (timing error) flag of packet index 2 because of gray zone timing,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,7532.938,dsi3_master_transmission_checker,read PDCM frame: channels 0b11,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,7532.938,m_master_transmission_checker_1,ignored TE (timing error) flag of packet index 2 because of gray zone timing,-1
dsi3_clear_command_buffer.log,UVM,UVM_ERROR,7533.043,dsi3_transaction_recorder,"Recorded unexpected number of master transactions at channel 0, expected 1, got 0!",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,8033.043,sim:description:2,**stop PDCM on channel 1 when all channels do PDCM,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,8036.778,dsi3_master_transmission_checker,start PDCM at channel 0 with 5 pulses and a PDCM period of 1000,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,8036.778,dsi3_master_transmission_checker,start PDCM at channel 1 with 5 pulses and a PDCM period of 1000,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,8060.45759,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 0'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,8062.457606,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 1'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,9060.457598,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 0'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,9060.457598,dsi3_master_transmission_checker,measured PDCM period at channel 0: 1000.000000 us - 3 pulses left,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,9184.778,dsi3_master_transmission_checker,read PDCM frame: channels 0b11,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,9184.778,m_master_transmission_checker_0,ignored TE (timing error) flag of packet index 2 because of gray zone timing,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,9184.778,m_master_transmission_checker_0,ignored TE (timing error) flag of packet index 4 because of gray zone timing,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,9184.778,m_master_transmission_checker_1,ignored TE (timing error) flag of packet index 1 because of gray zone timing,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,10060.457606,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 0'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,10060.457606,dsi3_master_transmission_checker,measured PDCM period at channel 0: 1000.000000 us - 2 pulses left,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,10229.898,dsi3_master_transmission_checker,read PDCM frame: channels 0b11,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,10229.898,m_master_transmission_checker_0,ignored TE (timing error) flag of packet index 2 because of gray zone timing,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,11060.457614,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 0'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,11060.457614,dsi3_master_transmission_checker,measured PDCM period at channel 0: 1000.000000 us - 1 pulses left,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,11275.018,dsi3_master_transmission_checker,read PDCM frame: channels 0b11,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,11275.018,m_master_transmission_checker_0,ignored TE (timing error) flag of packet index 0 because of gray zone timing,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,12060.457622,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 0'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,12060.457622,dsi3_master_transmission_checker,measured PDCM period at channel 0: 1000.000000 us - 0 pulses left,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,12320.138,dsi3_master_transmission_checker,read PDCM frame: channels 0b11,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,12320.138,m_master_transmission_checker_0,ignored TE (timing error) flag of packet index 4 because of gray zone timing,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,13365.258,dsi3_master_transmission_checker,read PDCM frame: channels 0b11,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,13965.363,stop_queued_crm_commands_seq,stop_queued_crm_commands_seq sequence starting,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,13965.364,sim:description:1,*stop a queue of CRM commands,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,14646.084,stop_wait_command_seq,stop_wait_command_seq sequence starting,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,14646.085,sim:description:1,*stop a queue of wait commands,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,14756.645,spec_CRM_command_seq,spec_CRM_command_seq sequence starting,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,14756.646,sim:description:2,**CRM Command Sequence(Equal commands),-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,15983.526,stop_finite_pdcm_at_random_time_seq,stop_finite_pdcm_at_random_time_seq sequence starting,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,15983.527,sim:description:1,*stop PDCM on all channels at random time,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,15983.527,upload_tdma_scheme_seq,upload_tdma_scheme_seq sequence starting,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,16041.208,upload_tdma_scheme_seq,uploaded TDMA scheme:,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,16043.983,dsi3_master_transmission_checker,start PDCM at channel 0 with 29 pulses and a PDCM period of 247,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,16043.983,dsi3_master_transmission_checker,start PDCM at channel 1 with 29 pulses and a PDCM period of 247,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,16062.928,sim:measure,'DSI_STAT' status = PASS,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,16066.768,sim:measure,'DSI_STAT' status = PASS,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,16067.179858,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 0'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,16069.179843,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 1'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,16314.179818,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 0'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,16314.179818,dsi3_master_transmission_checker,measured PDCM period at channel 0: 247.000000 us - 27 pulses left,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,16316.179834,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 1'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,16316.179834,dsi3_master_transmission_checker,measured PDCM period at channel 1: 247.000000 us - 27 pulses left,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,16561.17985,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 0'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,16561.17985,dsi3_master_transmission_checker,measured PDCM period at channel 0: 247.000000 us - 26 pulses left,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,16563.179835,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 1'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,16563.179835,dsi3_master_transmission_checker,measured PDCM period at channel 1: 247.000000 us - 26 pulses left,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,16808.179815,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 0'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,16808.179815,dsi3_master_transmission_checker,measured PDCM period at channel 0: 247.000000 us - 25 pulses left,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,16810.179826,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 1'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,16810.179826,dsi3_master_transmission_checker,measured PDCM period at channel 1: 247.000000 us - 25 pulses left,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,17055.179842,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 0'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,17055.179842,dsi3_master_transmission_checker,measured PDCM period at channel 0: 247.000000 us - 24 pulses left,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,17057.179858,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 1'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,17057.179858,dsi3_master_transmission_checker,measured PDCM period at channel 1: 247.000000 us - 24 pulses left,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,17302.179807,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 0'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,17302.179807,dsi3_master_transmission_checker,measured PDCM period at channel 0: 247.000000 us - 23 pulses left,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,17304.179818,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 1'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,17304.179818,dsi3_master_transmission_checker,measured PDCM period at channel 1: 247.000000 us - 23 pulses left,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,17549.179834,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 0'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,17549.179834,dsi3_master_transmission_checker,measured PDCM period at channel 0: 247.000000 us - 22 pulses left,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,17551.17985,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 1'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,17551.17985,dsi3_master_transmission_checker,measured PDCM period at channel 1: 247.000000 us - 22 pulses left,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,17796.179866,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 0'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,17796.179866,dsi3_master_transmission_checker,measured PDCM period at channel 0: 247.000000 us - 21 pulses left,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,17798.179815,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 1'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,17798.179815,dsi3_master_transmission_checker,measured PDCM period at channel 1: 247.000000 us - 21 pulses left,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,18043.179826,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 0'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,18043.179826,dsi3_master_transmission_checker,measured PDCM period at channel 0: 247.000000 us - 20 pulses left,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,18045.179842,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 1'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,18045.179842,dsi3_master_transmission_checker,measured PDCM period at channel 1: 247.000000 us - 20 pulses left,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,18290.179858,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 0'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,18290.179858,dsi3_master_transmission_checker,measured PDCM period at channel 0: 247.000000 us - 19 pulses left,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,18292.179807,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 1'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,18292.179807,dsi3_master_transmission_checker,measured PDCM period at channel 1: 247.000000 us - 19 pulses left,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,18537.179818,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 0'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,18537.179818,dsi3_master_transmission_checker,measured PDCM period at channel 0: 247.000000 us - 18 pulses left,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,18539.179834,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 1'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,18539.179834,dsi3_master_transmission_checker,measured PDCM period at channel 1: 247.000000 us - 18 pulses left,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,18784.17985,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 0'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,18784.17985,dsi3_master_transmission_checker,measured PDCM period at channel 0: 247.000000 us - 17 pulses left,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,18786.179866,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 1'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,18786.179866,dsi3_master_transmission_checker,measured PDCM period at channel 1: 247.000000 us - 17 pulses left,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,19031.17981,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 0'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,19031.17981,dsi3_master_transmission_checker,measured PDCM period at channel 0: 247.000000 us - 16 pulses left,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,19033.179826,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 1'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,19033.179826,dsi3_master_transmission_checker,measured PDCM period at channel 1: 247.000000 us - 16 pulses left,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,19278.179842,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 0'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,19278.179842,dsi3_master_transmission_checker,measured PDCM period at channel 0: 247.000000 us - 15 pulses left,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,19280.179858,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 1'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,19280.179858,dsi3_master_transmission_checker,measured PDCM period at channel 1: 247.000000 us - 15 pulses left,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,19525.179843,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 0'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,19525.179843,dsi3_master_transmission_checker,measured PDCM period at channel 0: 247.000000 us - 14 pulses left,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,19527.179818,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 1'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,19527.179818,dsi3_master_transmission_checker,measured PDCM period at channel 1: 247.000000 us - 14 pulses left,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,19772.179834,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 0'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,19772.179834,dsi3_master_transmission_checker,measured PDCM period at channel 0: 247.000000 us - 13 pulses left,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,19774.17985,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 1'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,19774.17985,dsi3_master_transmission_checker,measured PDCM period at channel 1: 247.000000 us - 13 pulses left,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,20019.179835,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 0'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,20019.179835,dsi3_master_transmission_checker,measured PDCM period at channel 0: 247.000000 us - 12 pulses left,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,20021.17981,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 1'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,20021.17981,dsi3_master_transmission_checker,measured PDCM period at channel 1: 247.000000 us - 12 pulses left,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,20266.179826,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 0'",-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,20266.179826,dsi3_master_transmission_checker,measured PDCM period at channel 0: 247.000000 us - 11 pulses left,-1
dsi3_clear_command_buffer.log,UVM,UVM_INFO,20268.179842,sim:measure,"'t__DSI,BIT,8__' = '8.000000' condition = 'at channel 1'",-1
